Dia;Quejas
26/03/2020;9
27/03/2020;4
28/03/2020;0
30/03/2020;2
31/03/2020;4
01/04/2020;8
02/04/2020;9
03/04/2020;9
04/04/2020;0
05/04/2020;1
06/04/2020;9
07/04/2020;3
08/04/2020;6
09/04/2020;0
10/04/2020;1
11/04/2020;0
12/04/2020;0
13/04/2020;4
14/04/2020;11
15/04/2020;12
16/04/2020;10
17/04/2020;3
18/04/2020;1
19/04/2020;0
20/04/2020;12
21/04/2020;16
22/04/2020;6
23/04/2020;15
24/04/2020;10
25/04/2020;0
26/04/2020;0
27/04/2020;5
28/04/2020;11
29/04/2020;8
30/04/2020;8
01/05/2020;0
02/05/2020;2
03/05/2020;0
04/05/2020;8
05/05/2020;14
06/05/2020;5
07/05/2020;6
08/05/2020;7
09/05/2020;0
10/05/2020;0
11/05/2020;6
12/05/2020;17
13/05/2020;16
14/05/2020;9
15/05/2020;4
16/05/2020;2
17/05/2020;0
18/05/2020;8
19/05/2020;20
20/05/2020;5
21/05/2020;8
22/05/2020;12
23/05/2020;0
25/05/2020;0
26/05/2020;19
27/05/2020;8
28/05/2020;11
29/05/2020;6
30/05/2020;2
31/05/2020;1
01/06/2020;16
02/06/2020;20
